destination_country,visitors_2019,visitors_2024,absolute_growth,percent_growth
UAE,283,644,361,127.56
Switzerland,274,612,338,123.36
Greece,289,644,355,122.84
Maldives,292,614,322,110.27
Italy,239,501,262,109.62
Japan,365,632,267,73.15
Malaysia,284,491,207,72.89
Singapore,370,636,266,71.89
France,381,653,272,71.39
Spain,325,541,216,66.46
Egypt,324,536,212,65.43
Thailand,318,515,197,61.95
USA,312,479,167,53.53
Turkey,381,577,196,51.44
Indonesia,442,602,160,36.2
Canada,427,502,75,17.56
New Zealand,412,467,55,13.35
Australia,501,489,-12,-2.4
Morocco,462,416,-46,-9.96
UK,399,354,-45,-11.28
