destination_country,visitors_2021,visitors_2024,absolute_growth,percent_growth
USA,114,479,365,320.18
Maldives,147,614,467,317.69
Indonesia,178,602,424,238.2
Egypt,163,536,373,228.83
Spain,168,541,373,222.02
Australia,153,489,336,219.61
Singapore,221,636,415,187.78
France,231,653,422,182.68
UAE,245,644,399,162.86
Italy,212,501,289,136.32
UK,150,354,204,136.0
Switzerland,261,612,351,134.48
Thailand,224,515,291,129.91
Japan,283,632,349,123.32
New Zealand,215,467,252,117.21
Greece,298,644,346,116.11
Turkey,282,577,295,104.61
Canada,263,502,239,90.87
Malaysia,306,491,185,60.46
Morocco,318,416,98,30.82
