destination_country,year,peak_season,peak_visitors
Australia,2019,Spring (Mar-May),164
Australia,2020,Winter (Dec-Feb),86
Australia,2021,Autumn (Sep-Nov),45
Australia,2022,Autumn (Sep-Nov),126
Australia,2023,Summer (Jun-Aug),225
Australia,2024,Autumn (Sep-Nov),162
Canada,2019,Winter (Dec-Feb),194
Canada,2020,Spring (Mar-May),96
Canada,2021,Autumn (Sep-Nov),83
Canada,2022,Spring (Mar-May),112
Canada,2023,Winter (Dec-Feb),184
Canada,2024,Spring (Mar-May),137
Egypt,2019,Spring (Mar-May),120
Egypt,2020,Spring (Mar-May),177
Egypt,2021,Summer (Jun-Aug),59
Egypt,2022,Winter (Dec-Feb),149
Egypt,2023,Summer (Jun-Aug),241
Egypt,2024,Winter (Dec-Feb),173
France,2019,Winter (Dec-Feb),165
France,2020,Winter (Dec-Feb),51
France,2021,Winter (Dec-Feb),81
France,2022,Autumn (Sep-Nov),133
France,2023,Winter (Dec-Feb),160
France,2024,Summer (Jun-Aug),224
Greece,2019,Spring (Mar-May),109
Greece,2020,Winter (Dec-Feb),78
Greece,2021,Spring (Mar-May),135
Greece,2022,Spring (Mar-May),94
Greece,2023,Summer (Jun-Aug),203
Greece,2024,Summer (Jun-Aug),205
Indonesia,2019,Winter (Dec-Feb),136
Indonesia,2020,Summer (Jun-Aug),63
Indonesia,2021,Autumn (Sep-Nov),68
Indonesia,2022,Summer (Jun-Aug),162
Indonesia,2023,Autumn (Sep-Nov),152
Indonesia,2024,Summer (Jun-Aug),164
Italy,2019,Summer (Jun-Aug),74
Italy,2020,Winter (Dec-Feb),82
Italy,2021,Winter (Dec-Feb),66
Italy,2022,Summer (Jun-Aug),193
Italy,2023,Winter (Dec-Feb),198
Italy,2024,Winter (Dec-Feb),178
Japan,2019,Summer (Jun-Aug),123
Japan,2020,Winter (Dec-Feb),59
Japan,2021,Autumn (Sep-Nov),99
Japan,2022,Autumn (Sep-Nov),170
Japan,2023,Autumn (Sep-Nov),157
Japan,2024,Spring (Mar-May),209
Malaysia,2019,Spring (Mar-May),138
Malaysia,2020,Winter (Dec-Feb),81
Malaysia,2021,Spring (Mar-May),88
Malaysia,2022,Winter (Dec-Feb),162
Malaysia,2023,Spring (Mar-May),205
Malaysia,2024,Autumn (Sep-Nov),146
Maldives,2019,Spring (Mar-May),114
Maldives,2020,Spring (Mar-May),49
Maldives,2021,Summer (Jun-Aug),48
Maldives,2022,Spring (Mar-May),169
Maldives,2023,Winter (Dec-Feb),143
Maldives,2024,Summer (Jun-Aug),201
Morocco,2019,Spring (Mar-May),146
Morocco,2020,Spring (Mar-May),74
Morocco,2021,Summer (Jun-Aug),152
Morocco,2022,Spring (Mar-May),126
Morocco,2023,Summer (Jun-Aug),153
Morocco,2024,Autumn (Sep-Nov),196
New Zealand,2019,Summer (Jun-Aug),149
New Zealand,2020,Winter (Dec-Feb),108
New Zealand,2021,Summer (Jun-Aug),68
New Zealand,2022,Autumn (Sep-Nov),158
New Zealand,2023,Spring (Mar-May),205
New Zealand,2024,Autumn (Sep-Nov),149
Singapore,2019,Winter (Dec-Feb),109
Singapore,2020,Autumn (Sep-Nov),68
Singapore,2021,Winter (Dec-Feb),87
Singapore,2022,Summer (Jun-Aug),119
Singapore,2023,Autumn (Sep-Nov),240
Singapore,2024,Autumn (Sep-Nov),231
Spain,2019,Autumn (Sep-Nov),111
Spain,2020,Summer (Jun-Aug),49
Spain,2021,Spring (Mar-May),67
Spain,2022,Winter (Dec-Feb),123
Spain,2023,Winter (Dec-Feb),174
Spain,2024,Summer (Jun-Aug),154
Switzerland,2019,Autumn (Sep-Nov),88
Switzerland,2020,Winter (Dec-Feb),73
Switzerland,2021,Summer (Jun-Aug),112
Switzerland,2022,Summer (Jun-Aug),135
Switzerland,2023,Summer (Jun-Aug),232
Switzerland,2024,Summer (Jun-Aug),203
Thailand,2019,Spring (Mar-May),99
Thailand,2020,Spring (Mar-May),51
Thailand,2021,Summer (Jun-Aug),77
Thailand,2022,Winter (Dec-Feb),103
Thailand,2023,Winter (Dec-Feb),225
Thailand,2024,Winter (Dec-Feb),166
Turkey,2019,Spring (Mar-May),116
Turkey,2020,Summer (Jun-Aug),64
Turkey,2021,Spring (Mar-May),99
Turkey,2022,Spring (Mar-May),110
Turkey,2023,Summer (Jun-Aug),199
Turkey,2024,Summer (Jun-Aug),159
UAE,2019,Winter (Dec-Feb),92
UAE,2020,Autumn (Sep-Nov),106
UAE,2021,Autumn (Sep-Nov),72
UAE,2022,Autumn (Sep-Nov),149
UAE,2023,Winter (Dec-Feb),174
UAE,2024,Winter (Dec-Feb),170
UK,2019,Autumn (Sep-Nov),134
UK,2020,Spring (Mar-May),66
UK,2021,Autumn (Sep-Nov),69
UK,2022,Spring (Mar-May),139
UK,2023,Spring (Mar-May),292
UK,2024,Summer (Jun-Aug),105
USA,2019,Winter (Dec-Feb),119
USA,2020,Autumn (Sep-Nov),99
USA,2021,Spring (Mar-May),39
USA,2022,Winter (Dec-Feb),134
USA,2023,Autumn (Sep-Nov),203
USA,2024,Spring (Mar-May),142
