destination_country,year,season,total_season_records,season_category,peak_season_records,difference_from_peak
Australia,2019,Spring (Mar-May),24,Primary Peak,24,0
Australia,2020,Winter (Dec-Feb),13,Primary Peak,13,0
Australia,2021,Spring (Mar-May),15,Primary Peak,15,0
Australia,2022,Winter (Dec-Feb),27,Primary Peak,27,0
Australia,2023,Summer (Jun-Aug),38,Primary Peak,38,0
Australia,2024,Autumn (Sep-Nov),39,Primary Peak,39,0
Canada,2019,Spring (Mar-May),26,Primary Peak,26,0
Canada,2020,Summer (Jun-Aug),12,Primary Peak,12,0
Canada,2021,Summer (Jun-Aug),12,Primary Peak,12,0
Canada,2022,Spring (Mar-May),24,Primary Peak,24,0
Canada,2022,Summer (Jun-Aug),24,Primary Peak,24,0
Canada,2023,Summer (Jun-Aug),44,Primary Peak,44,0
Canada,2024,Autumn (Sep-Nov),28,Primary Peak,28,0
Egypt,2019,Spring (Mar-May),25,Primary Peak,25,0
Egypt,2020,Spring (Mar-May),15,Primary Peak,15,0
Egypt,2021,Winter (Dec-Feb),13,Primary Peak,13,0
Egypt,2022,Spring (Mar-May),30,Primary Peak,30,0
Egypt,2023,Summer (Jun-Aug),42,Primary Peak,42,0
Egypt,2024,Winter (Dec-Feb),41,Primary Peak,41,0
France,2019,Summer (Jun-Aug),23,Primary Peak,23,0
France,2020,Spring (Mar-May),13,Primary Peak,13,0
France,2021,Autumn (Sep-Nov),16,Primary Peak,16,0
France,2022,Winter (Dec-Feb),29,Primary Peak,29,0
France,2023,Winter (Dec-Feb),39,Primary Peak,39,0
France,2024,Spring (Mar-May),42,Primary Peak,42,0
Greece,2019,Spring (Mar-May),17,Primary Peak,17,0
Greece,2020,Summer (Jun-Aug),12,Primary Peak,12,0
Greece,2021,Autumn (Sep-Nov),12,Primary Peak,12,0
Greece,2021,Spring (Mar-May),12,Primary Peak,12,0
Greece,2021,Summer (Jun-Aug),12,Primary Peak,12,0
Greece,2021,Winter (Dec-Feb),12,Primary Peak,12,0
Greece,2022,Winter (Dec-Feb),25,Primary Peak,25,0
Greece,2023,Autumn (Sep-Nov),36,Primary Peak,36,0
Greece,2024,Autumn (Sep-Nov),32,Primary Peak,32,0
Greece,2024,Winter (Dec-Feb),32,Primary Peak,32,0
Indonesia,2019,Autumn (Sep-Nov),24,Primary Peak,24,0
Indonesia,2020,Autumn (Sep-Nov),12,Primary Peak,12,0
Indonesia,2021,Autumn (Sep-Nov),14,Primary Peak,14,0
Indonesia,2021,Summer (Jun-Aug),14,Primary Peak,14,0
Indonesia,2022,Summer (Jun-Aug),34,Primary Peak,34,0
Indonesia,2023,Summer (Jun-Aug),36,Primary Peak,36,0
Indonesia,2024,Summer (Jun-Aug),33,Primary Peak,33,0
Italy,2019,Summer (Jun-Aug),24,Primary Peak,24,0
Italy,2020,Autumn (Sep-Nov),10,Primary Peak,10,0
Italy,2020,Winter (Dec-Feb),10,Primary Peak,10,0
Italy,2021,Summer (Jun-Aug),15,Primary Peak,15,0
Italy,2022,Summer (Jun-Aug),26,Primary Peak,26,0
Italy,2023,Spring (Mar-May),38,Primary Peak,38,0
Italy,2024,Winter (Dec-Feb),36,Primary Peak,36,0
Japan,2019,Autumn (Sep-Nov),28,Primary Peak,28,0
